Title,Class,Language,Shelfmark,Date1,Date2
Orkneyinga saga,,Dansk,AM 103 fol.,1600,1699
Dedikation til kong Kristian V,,Dansk,AM 27 fol.,1650,1699
Fortale til læseren,,Dansk,AM 27 fol.,1650,1699
Bogens ord til læseren,,Dansk,AM 27 fol.,1650,1699
Reges Daniæ et Norvegiæ cognomitati,,Dansk og latin,AM 27 fol.,1650,1699
,,Dansk,AM 20 e-g & i fol.,1700,1799
Noregs konunga sögur,,Dansk,AM 93 fol.,1540,1560
Om den norske krønike,,Dansk,AM 93 fol.,1540,1560
Dedikation til den udvalgte kong Frederik II,,Dansk,AM 93 fol.,1540,1560
Fortalen til den norske krønike,,Dansk,AM 93 fol.,1540,1560
Oversættelse af den norske krønike,,Dansk og norrønt,AM 93 fol.,1540,1560
Jordebøger,,Dansk,AM 467 fol.,1700,1800
To dokumenter om Grønland dateret,,Dansk,AM 381 9 fol.,,
Dynna-sten,,,AM 371 fol.,1627,1627
Gran-sten 1,,,AM 371 fol.,1627,1627
Gran-sten 2,,,AM 371 fol.,1627,1627
Gran-sten 3,,,AM 371 fol.,1627,1627
† Kjos-indskriften,,,AM 371 fol.,1627,1627
† Bilden alterklæde,,,AM 371 fol.,1627,1627
Tune-sten,,,AM 371 fol.,1627,1627
Tose-sten 2,,,AM 371 fol.,1627,1627
Tose-sten 1,,,AM 371 fol.,1627,1627
Hoga-sten,,,AM 371 fol.,1627,1627
Holm-sten,,,AM 371 fol.,1627,1627
,,,AM 371 fol.,1627,1627
Bråteberg helleristninger 1,,,AM 371 fol.,1627,1627
Bråteberg helleristninger 2,,,AM 371 fol.,1627,1627
,,Dansk og islandsk,AM 465 fol.,1700,1800
Jarðabók yfir Árnessýsla,,Dansk,AM 465 fol.,1700,1800
Nogle notitser og artikler,,Dansk,AM 406 fol.,1800,1899
Roskildensia.,,Dansk?,AM 484 fol.,1750,1799
Sanctuarium Birgerianum,,Dansk og latin,AM 292 fol.,1500,1524
Fem danske breve fra,,Dansk,AM 380 fol.,1600,1699
Den norske landslov,,Dansk,AM 318 fol.,1554,1554
Bylov med Farmannalov,,Dansk,AM 318 fol.,1554,1554
Oversætterens epilog,,Dansk,AM 318 fol.,1554,1554
,,Dansk,AM 365 fol.,1701,1701
Register over benyttede bøger og håndskrifter,,Dansk og Latin,AM 365 fol.,1701,1701
Edvard Edvardens Bergensbeskrivelse (uddrag),,Dansk og Latin,AM 365 fol.,1701,1701
Norske retterbøder,,Dansk,AM 365 fol.,1701,1701
Runamo,,,AM 369 fol.,1600,1699
Holm-sten,,,AM 369 fol.,1600,1699
† Listerby-pulpitur,,,AM 369 fol.,1600,1699
Tullstorp-sten,,,AM 369 fol.,1600,1699
Bjäresjö-sten 1,,,AM 369 fol.,1600,1699
Bjäresjö-sten 2,,,AM 369 fol.,1600,1699
Östra Vemmenhög-sten,,,AM 369 fol.,1600,1699
Hyby-sten 1,,,AM 369 fol.,1600,1699
Skårby-sten 1,,,AM 369 fol.,1600,1699
Sjörup-sten,,,AM 369 fol.,1600,1699
Norra Åsum-sten,,,AM 369 fol.,1600,1699
Hunnestad-monument,,,AM 369 fol.,1600,1699
† Östra Hoby-sten 1,,,AM 369 fol.,1600,1699
Stora Köpinge-sten,,,AM 369 fol.,1600,1699
Björketorp-monument,,,AM 369 fol.,1600,1699
Västra Strö-monumentet,,,AM 369 fol.,1600,1699
† Gummarp-sten,,,AM 369 fol.,1600,1699
Gårdstunga-sten 1,,,AM 369 fol.,1600,1699
Sturkö-sten,,,AM 369 fol.,1600,1699
† Allerum-sten 1,,,AM 369 fol.,1600,1699
Lösen-sten 1,,,AM 369 fol.,1600,1699
Uppåkra-sten,,,AM 369 fol.,1600,1699
Valkärra-sten,,,AM 369 fol.,1600,1699
Lösen-sten 2,,,AM 369 fol.,1600,1699
Fuglie-sten 1,,,AM 369 fol.,1600,1699
Fosie-sten,,,AM 369 fol.,1600,1699
Noregs konunga sögur,,Dansk,AM 95 fol.,1575,1627
Kort historisk beretning om de norske konger Magnus Lagabøter og Erik Magnusson efterfulgt af beretninger i annalform,,Dansk,AM 95 fol.,1575,1627
Olai Petri Svenska Krönika,,Dansk med tysk og latin,AM 195 fol.,1619,1619
Jarðabók yfir Eyjafjarðarsýsla,,Dansk,AM 473 fol.,1700,1800
Samling af norske kongebreve privilegier m.v. særlig vedkommende Bergen.,,Dansk,AM 330 fol.,1575,1627
Norges beskrivelse,,Dansk,AM 99 fol.,1701,1701
Kristinréttr Árna biskups,,Dansk,AM 353 fol.,1600,1699
Dansk krønike fra kejser Augustus' død til 1632,,Dansk,AM 33 fol.,1575,1625
Alexander den stores historie,,Dansk,AM 190 a fol.,1584,1584
