Title,Shelfmark,Date1,Date2
Magnus lagabøters norske landslov,AM 318 fol.,1554,1554
Jyske lovs fortale,AM 286 fol.,1310,1330
Jyske lov,AM 286 fol.,1310,1330
Magnus lagabøters norske landslov,AM 320 fol.,1593,1593
Magnus lagabøters norske landslov,AM 319 fol.,1550,1599
Magnus lagabøters norske landslov,AM 321 fol.,1575,1599
Magnus lagabøters norske landslov,AM 317 fol.,1575,1599
Magnus lagabøters norske landslov,AM 87 4to,1500,1599
Jyske lov,AM 1056 XXII 4to,1400,1499
Jyske lov,AM 9 4to,1470,1470
Valdemars Sjællandske lov,AM 9 4to,1470,1470
Sjællandske kirkelov,AM 9 4to,1470,1470
Eriks Sjællandske lov,AM 9 4to,1470,1470
Jyske lov,AM 5 4to,1547,1547
Skånske lov,AM 42 4to,1500,1599
Jyske lovs fortale,AM 21 4to,1475,1499
Valdemars Sjællandske lov,AM 21 4to,1475,1499
Eriks Sjællandske lov,AM 21 4to,1475,1499
Sjællandske kirkelov,AM 21 4to,1475,1499
Jyske lov,AM 7 4to,1500,1599
Jyske lovs fortale,AM 23 4to,1475,1525
Valdemars Sjællandske lov,AM 23 4to,1475,1525
Sjællandske kirkelov,AM 23 4to,1475,1525
Skånske lov,AM 40 4to,1400,1499
Skånske kirkelov,AM 40 4to,1400,1499
Magnus lagabøters norske landslov,AM 85 4to,1500,1599
Magnus lagabøters norske landslov,AM 89 4to,1550,1599
Jyske lovs fortale,AM 35 4to,1592,1592
Skånske lov,AM 35 4to,1592,1592
Skånske kirkelov,AM 35 4to,1592,1592
Skånske lov,AM 27 4to,1675,1725
Skånske lov,AM 39 4to,1475,1525
Skånske kirkelov,AM 39 4to,1475,1525
Jyske lov,AM 11 4to,1475,1525
Valdemars Sjællandske lov,AM 11 4to,1475,1525
Sjællandske kirkelov,AM 11 4to,1475,1525
Jyske lov,AM 3 4to,1475,1499
Skånske kirkelov,AM 38 b 4to,1640,1660
Jyske lov,AM 1056 XXXVII 4to,1300,1399
Magnus lagabøters norske landslov,AM 93 4to,1500,1599
Magnus lagabøters norske landslov,AM 81 4to,1550,1600
Magnus lagabøters norske landslov,AM 91 4to,1575,1599
Jyske lovs fortale,AM 25 4to,1450,1499
Eriks Sjællandske lov,AM 25 4to,1450,1499
Sjællandske kirkelov,AM 25 4to,1450,1499
Skånske kirkelov,AM 37 4to,1250,1599
Skånske lov,AM 43 4to,1700,1799
Magnus lagabøters norske landslov,AM 75 4to,1500,1599
Jyske lov,AM 8 4to,1400,1499
Magnus lagabøters norske landslov,AM 79 4to,1575,1599
Jyske lov,AM 4 4to,1275,1325
Magnus lagabøters norske landslov,AM 86 4to,1500,1599
Magnus lagabøters norske landslov,AM 84 4to,1575,1599
Magnus lagabøters norske landslov,AM 88 4to,1575,1599
Skånske lov,AM 41 4to,1325,1375
Jyske lovs fortale,AM 22 4to,1450,1499
Valdemars Sjællandske lov,AM 22 4to,1450,1499
Sjællandske kirkelov,AM 22 4to,1450,1499
Eriks Sjællandske lov,AM 22 4to,1450,1499
Jyske lov,AM 6 4to,1540,1560
Magnus lagabøters norske landslov,AM 92 4to,1575,1625
Magnus lagabøters norske landslov,AM 80 4to,1500,1599
Jyske lov,AM 1056 XXIV 4to,1375,1425
Jyske lov,AM 10 4to,1675,1725
Magnus lagabøters norske landslov,AM 83 a 4to,1575,1599
Jyske lovs fortale,AM 26 4to,1500,1524
Valdemars Sjællandske lov,AM 26 4to,1500,1524
Eriks Sjællandske lov,AM 26 4to,1500,1524
Sjællandske kirkelov,AM 26 4to,1500,1524
Valdemars Sjællandske lov,AM 24 4to,1275,1299
Skånske lov,AM 36 4to,1400,1499
Skånske kirkelov,AM 36 4to,1400,1499
Eriks Sjællandske lov,AM 28 4to,1475,1525
Sjællandske kirkelov,AM 28 4to,1475,1525
Magnus lagabøters norske landslov,AM 82 4to,1500,1599
Magnus lagabøters norske landslov,AM 95 a 4to,1575,1627
Magnus lagabøters norske landslov,AM 90 4to,1575,1599
Skånske kirkelov,AM 38 a 4to,1650,1699
Jyske lov,AM 15 8vo,1507,1507
Jyske lov,AM 7 8vo,1450,1499
Jyske lov,AM 19 8vo,1300,1399
Eriks sjællandske lov,AM 23 8vo,1481,1481
Jyske lov,AM 23 8vo,1481,1481
Sjællandske kirkelov,AM 23 8vo,1481,1481
Valdemars sjællandske lov,AM 23 8vo,1481,1481
Jyske lov,AM 20 b 8vo,1475,1525
Jyske lov,AM 5 8vo,1477,1477
Jyske lov,AM 9 8vo,1490,1490
Jyske lov,AM 17 8vo,1472,1472
Magnus lagabøters norske landslov,AM 33 8vo,1601,1601
Valdemars sjællandske lov,AM 25 8vo,1545,1545
Eriks sjællandske lov,AM 25 8vo,1545,1545
Sjællandske kirkelov,AM 25 8vo,1545,1545
Jyske lovs fortale,AM 11 8vo,1300,1399
Valdemars sjællandske lov,AM 22 8vo,1450,1550
Eriks sjællandske lov,AM 22 8vo,1450,1550
Jyske lov,AM 18 8vo,1504,1504
Valdemars sjællandske lov,AM 79 I beta 8vo,1400,1499
Magnus lagabøters norske landslov,AM 32 8vo,1575,1625
Jyske lov,AM 79 I alfa 8vo,1300,1399
Jyske lov,AM 16 8vo,1475,1499
Jyske lov,AM 8 8vo,1550,1646
Jyske lov,AM 20 a 8vo,1475,1525
Valdemars sjællandske lov,AM 24 8vo,1350,1399
Sjællandske kirkelov,AM 24 8vo,1350,1399
Valdemars sjællandske lov,AM 24 8vo,1350,1399
Eriks sjællandske lov,AM 24 8vo,1350,1399
Jyske lov,AM 10 8vo,1490,1490
Valdemars sjællandske lov,AM 26 8vo,1350,1399
Valdemars sjællandske lov,AM 26 8vo,1350,1399
Eriks sjællandske lov,AM 26 8vo,1350,1399
Sjællandske kirkelov,AM 26 8vo,1350,1399
Jyske lov,AM 453 12mo,1300,1410
Jyske lov,AM 451 12mo,1480,1480
Jyske lovs fortale,AM 451 12mo,1480,1480
Jyske lovs fortale,AM 455 12mo,1275,1325
Valdemars sjællandske lov,AM 455 12mo,1275,1325
Sjællandske kirkelov,AM 455 12mo,1275,1325
Eriks sjællandske lov,AM 455 12mo,1275,1325
Eriks sjællandske lov,AM 455 12mo,1275,1325
Eriks sjællandske lov,AM 455 12mo,1275,1325
Jyske lov,AM 449 12mo,1400,1599
Jyske lov,AM 445 12mo,1475,1499
Jyske lov,AM 452 12mo,1475,1525
Jyske lov,AM 450 12mo,1475,1499
Jyske lov,AM 442 12mo,1475,1599
Jyske lov,AM 446 12mo,1486,1486
