Shelfmark,origPlace,key
AM 72 fol.,Norge,NONE
AM 11 fol.,Island,NONE
AM 60 fol.,Danmark,NONE
AM 240 VIII fol.,Island,NONE
AM 241 b II fol.,Island,NONE
AM 103 fol.,Danmark?,NONE
AM 3 fol.,Island/Danmark?,NONE
AM 56 fol.,Island,NONE
AM 249 a fol.,England,NONE
AM 48 fol.,Norge,NONE
AM 240 V fol.,Island,NONE
AM 282 fol.,Norge?,NONE
AM 35 fol.,Karmøy  Norge,NONE
AM 44 fol.,Norge,NONE
AM 237 b fol.,Norge,NONE
AM 39 fol.,Island,NONE
AM 50 b fol.,Norge eller                     København,NONE
AM 27 fol.,Danmark,NONE
AM 290 fol.,Danmark,NONE
AM 390 fol.,Danmark,NONE
AM 67 a fol.,Norge,NONE
AM 238 I fol.,Island,NONE
AM 416 fol.,Danmark?,NONE
AM 20 e-g & i fol.,Island/Danmark,NONE
AM 359 fol.,Danmark,NONE
AM 93 fol.,Danmark eller Norge,NONE
AM 224 fol.,Norge?,NONE
AM 324 fol.,Norge,NONE
AM 475 fol.,Island?,NONE
AM 404 fol.,Danmark,NONE
AM 479 fol.,Danmark,NONE
AM 228 fol.,Island,NONE
AM 180 a fol.,Island,NONE
AM 181 a fol.,Island,NONE
AM 241 b III fol.,Island,NONE
AM 1 d beta fol.,Island,NONE
AM 467 fol.,Danmark,NONE
AM 238 XXVIII fol.,Island,NONE
AM 243 b beta fol.,Island/Danmark,NONE
AM 300 fol.,Sverige,NONE
AM 200 fol.,Sverige?,NONE
AM 381 9 fol.,Danmark/Norge,NONE
AM 81 b fol.,Norge?,NONE
AM 420 fol.,Sverige,NONE
AM 371 fol.,NONE,NONE
AM 243 a fol.,Island,NONE
AM 25 a fol.,Danmark,NONE
AM 12 b fol.,Island,NONE
AM 312 fol.,Norge,NONE
AM 465 fol.,Danmark,NONE
AM 234 fol.,Island,NONE
AM 83 fol.,Island,NONE
AM 240 II fol.,Island,NONE
AM 78 b fol.,København  Danmark,NONE
AM 406 fol.,Danmark,NONE
AM 357 fol.,Danmark,NONE
AM 180 c fol.,Island,NONE
AM 181 c fol.,Island,NONE
AM 91 fol.,Island eller                     Danmark,NONE
AM 226 fol.,Island,NONE
AM 191 fol.,Sverige,NONE
AM 326 fol.,Norge?,NONE
AM 477 fol.,Danmark,NONE
AM 238 XVI fol.,Island,NONE
AM 329 b fol.,Island?,NONE
AM 310 fol.,Norge,NONE
AM 373 fol.,Spanien,NONE
AM 285 a fol.,Norge?,NONE
AM 243 c fol.,Island,NONE
AM 243 o fol.,Island/Danmark,NONE
AM 302 fol.,Norge,NONE
AM 453 fol.,Danmark/Island,NONE
AM 361 fol.,Danmark,NONE
AM 194 b fol.,Island,NONE
AM 101 fol.,Norge,NONE
AM 484 fol.,Danmark,NONE
AM 62 fol.,Island,NONE
AM 13 fol.,Island,NONE
AM 73 b fol.,Island,NONE
AM 70 fol.,Norge/Danmark?,NONE
AM 20 d fol.,Island/Danmark,NONE
AM 58 fol.,Danmark,NONE
AM 292 fol.,Danmark,NONE
AM 392 fol.,NONE,NONE
AM 46 fol.,Norge,NONE
AM 240 X fol.,Island,NONE
AM 380 fol.,Danmark  Norge og                     Island?,NONE
AM 37 fol.,Norge,NONE
AM 54 fol.,Island,NONE
AM 20 h fol.,Danmark,NONE
AM 29 fol.,Sønderjylland/Schleswig-Holsten?,NONE
AM 243 k fol.,Island,NONE
AM 306 fol.,Norge,NONE
AM 1 e beta I fol.,Island,NONE
AM 238 XXIV fol.,Island,NONE
AM 241 b VI fol.,Island,NONE
AM 318 fol.,Danmark  Marstrand,NONE
AM 176 b fol.,Island,NONE
AM 365 fol.,Norge(?),NONE
AM 314 fol.,Island  Danmark eller Norge,NONE
AM 369 fol.,NONE,NONE
AM 243 g fol.,Island,NONE
AM 1 a fol.,Island,NONE
AM 377 fol.,Spanien?,NONE
AM 238 XVII fol.,Island,NONE
AM 95 fol.,Norge                     og Danmark,NONE
AM 222 fol.,Island/Danmark,NONE
